First Name,Last Name,Year,Rec,Yards,TD,20+,40+,Lng,Rec 1st,1st %,Rec FUM,Targets,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Jared,Abbrederis,2015.0,9.0,111.0,,1.0,,32.0,5.0,0.556,1.0,16.0,WR,2014.0,Wisconsin,73,195.0,26.35,31.38,9.63,75.0,4.5,,2.65,4 reps (225 lb),(N/A) (MPH),30.5,116.0,4.08,6.8
Jared,Abbrederis,2016.0,1.0,,,,,8.0,,,,2.0,WR,2014.0,Wisconsin,73,195.0,26.35,31.38,9.63,75.0,4.5,,2.65,4 reps (225 lb),(N/A) (MPH),30.5,116.0,4.08,6.8
Jared,Abbrederis,2017.0,3.0,,,1.0,,25.0,2.0,0.667,,7.0,WR,2014.0,Wisconsin,73,195.0,26.35,31.38,9.63,75.0,4.5,,2.65,4 reps (225 lb),(N/A) (MPH),30.5,116.0,4.08,6.8
Isa,Abdul,2014.0,1.0,,,,,3.0,,,,1.0,SS,,,,,,,,,,,,,,,,,
Ameer,Abdullah,2015.0,25.0,183.0,1.0,1.0,,36.0,11.0,0.44,,39.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2016.0,5.0,,1.0,,,18.0,4.0,0.8,,5.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2017.0,25.0,162.0,1.0,1.0,,22.0,13.0,0.52,,34.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2018.0,3.0,,,,,22.0,1.0,0.33299999999999996,,4.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2019.0,15.0,,1.0,,,16.0,5.0,0.33299999999999996,,21.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2020.0,8.0,,2.0,1.0,,22.0,4.0,0.5,,9.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
