First Name,Last Name,Year,RushingYards,Att,TD,TwentyPlus,FourtyPlus,Lng,RushingFirst,RushingFirstPerc,RushingFum,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Isa,Abdul,2015.0,34.0,2.0,,1.0,,30.0,2.0,,,SS,,,,,,,,,,,,,,,,,
Isa,Abdul,2015.0,34.0,2.0,,1.0,,30.0,2.0,,,SS,,,,,,,,,,,,,,,,,
Ameer,Abdullah,2015.0,597.0,143.0,2.0,4.0,,36.0,27.0,5.296,4.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2015.0,597.0,143.0,2.0,4.0,,36.0,27.0,5.296,4.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2016.0,101.0,18.0,,1.0,,24.0,6.0,,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2016.0,101.0,18.0,,1.0,,24.0,6.0,,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2017.0,552.0,165.0,4.0,5.0,,34.0,24.0,6.875,2.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2017.0,552.0,165.0,4.0,5.0,,34.0,24.0,6.875,2.0,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2018.0,1.0,1.0,,,,1.0,,,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2018.0,1.0,1.0,,,,1.0,,,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2019.0,115.0,23.0,,,,15.0,4.0,5.75,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2019.0,115.0,23.0,,,,15.0,4.0,5.75,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2020.0,42.0,8.0,,,,13.0,4.0,,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Ameer,Abdullah,2020.0,42.0,8.0,,,,13.0,4.0,,,RB,2015.0,Nebraska,"68,75",205.0,31.23,30.0,8.63,72.0,4.6,17.98,2.68,24 reps (225 lb),(N/A) (MPH),42.5,130.0,3.95,6.79
Rabih,Abdullah,1999.0,12.0,5.0,,,,10.0,1.0,,,RB,,,,,,,,,,,,,,,,,
Rabih,Abdullah,1999.0,12.0,5.0,,,,10.0,1.0,,,RB,,,,,,,,,,,,,,,,,
